title,authors,year,resource_type,url,doi,journal
"TorchSpatial","",,,paper,https://arxiv.org/abs/2406.15658,,
"AIDE: Artificial Intelligence for Disentangling Extremes","",,,paper,https://www.researchgate.net/profile/Miguel-Angel-Fernandez-Torres/publication/381917888,,
"Machine learning for geological mapping: algorithms and applications","",,,thesis,https://eprints.utas.edu.au/18571/,,
"Porphyry Copper Spatio-Temporal Exploration","",,,paper,https://www.earthbyte.org/predicting-the-emplacement-of-cordilleran-porphyry-copper-systems-using-a-spatio-temporal-machine-learning-model/,,
"A machine learning-based approach to regional-scale mapping","",,,paper,https://onlinelibrary.wiley.com/doi/10.1002/nsg.12166,,
